cable_size,drop_percentage,current,type,status
185,1.7450098276898234,136.04598270856266,current,
1.5,174.4776641672465,,comparison,SEVERE
2.5,113.38994965122731,,comparison,SEVERE
4,65.28094126473667,,comparison,SEVERE
6,47.68548468539086,,comparison,SEVERE
10,28.377918996200695,,comparison,SEVERE
16,16.332985110368192,,comparison,SEVERE
25,10.666491393281971,,comparison,SEVERE
35,7.9904065698088695,,comparison,SEVERE
50,5.682340423739709,,comparison,WARNING
70,3.890731118671365,,comparison,SUBMAIN
95,2.806899612031131,,comparison,SUBMAIN
120,2.3125863307557792,,comparison,SUBMAIN
150,1.9042122721852077,,comparison,OK
240,1.125199844840254,,comparison,OK
300,0.9521324717782337,,comparison,OK
400,0.7056392532774637,,comparison,OK
500,0.5744895634691128,,comparison,OK
630,0.4519950114483736,,comparison,OK
