# Cable Size Comparison - 2025-03-10 21:03:06
# System Voltage: 415V
# Current: 136.0 A
# Length: 12.0 m
# Installation Method: D2 - Underground in conduit
# Temperature: 25.0 °C
# Grouping Factor: 1.00
# ADMD Enabled: No
# Diversity Factor: 1.270

Size (mm²),Material,Cores,mV/A/m,Rating (A),Voltage Drop (V),Drop (%),Status
1.5,Al,3C+E,29.0,16.0,73.17488946427535,17.632503485367554,SEVERE
2.5,Al,3C+E,18.0,25.0,45.41889690886057,10.944312508159173,SEVERE
4.0,Al,3C+E,11.0,32.0,27.755992555414792,6.688190977208383,WARNING
6.0,Al,3C+E,7.3,40.0,18.419885968593448,4.438526739420108,SUBMAIN
10.0,Al,3C+E,4.4,63.0,11.102397022165919,2.675276390883354,SUBMAIN
16.0,Al,3C+E,2.8,85.0,7.0651617413783105,1.7024486123803158,OK
25.0,Al,3C+E,1.8,112.0,4.541889690886056,1.0944312508159173,OK
35.0,Al,3C+E,1.3,138.0,3.2802536656399304,0.7904225700337182,OK
50.0,Al,3C+E,0.98,168.0,2.472806609482409,0.5958570143331106,OK
70.0,Al,3C+E,0.69,213.0,1.741057714839655,0.41953197947943494,OK
95.0,Al,3C+E,0.52,258.0,1.3121014662559722,0.3161690280134873,OK
120.0,Al,3C+E,0.41,299.0,1.034541540701824,0.24928711824140334,OK
150.0,Al,3C+E,0.34,344.0,0.8579124971673663,0.2067259029318955,OK
185.0,Al,3C+E,0.28,392.0,0.7065161741378311,0.1702448612380316,OK
240.0,Al,3C+E,0.22,461.0,0.5551198511082959,0.1337638195441677,OK
300.0,Al,3C+E,0.18,530.0,0.4541889690886056,0.10944312508159172,OK
400.0,Al,3C+E,0.15,599.0,0.378490807573838,0.09120260423465976,OK
