size,mv_per_am,max_current
1.5,29,16
2.5,18,25
4,11,32
6,7.3,40
10,4.4,63
16,2.8,85
25,1.8,112
35,1.3,138
50,0.98,168
70,0.69,213
95,0.52,258
120,0.41,299
150,0.34,344
185,0.28,392
240,0.22,461
300,0.18,530
400,0.15,599
