size,mv_per_am,max_current
16,4.2,57
25,2.7,75
35,2.0,92
50,1.5,110
70,1.1,140
95,0.72,240
120,0.58,275
150,0.54,225
185,0.39,350
240,0.31,410
300,0.27,460
400,0.27,390
500,0.24,435
630,0.21,485
