size,mv_per_am,max_current
16,4.0,66
25,2.5,85
35,1.9,105
50,1.4,125
70,0.98,160
95,0.75,190
120,0.60,220
150,0.50,255
185,0.41,290
240,0.32,345
300,0.27,395
400,0.24,445
500,0.21,495
630,0.18,555
